prompt,category,max_new_tokens,mode,k,speed_ratio_case,draft_time_scale,verify_time_scale,baseline_time_sec,baseline_tps,baseline_energy_proxy_units,baseline_energy_per_token_proxy,spec_time_sec,spec_tps,acceptance_rate,avg_round_acceptance,rollback_count,baseline_fallback_steps,wasted_draft_tokens,draft_time_sec,verify_time_sec,commit_time_sec,rollback_penalty_sec,pipeline_utilization,accepted_tokens_per_round,draft_time_per_accepted_token,verify_time_per_accepted_token,wasted_draft_per_accepted_token,stall_rounds,backpressure_events,verify_bottleneck_ratio,energy_proxy_units,energy_per_token_proxy,energy_per_accepted_token_proxy,peak_speculative_tokens,peak_estimated_kv_overhead_units,speedup,output_match
Speculative decoding is useful because,explanatory,32,fixed,4,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8912442919999997,35.90485828323264,0.4339622641509434,0.4642857142857143,9,0,30,0.43121099629999815,0.27460204500000174,0.00017637499999878514,0.00011658399999348035,0.9998437416243952,1.6428571428571428,0.01874830418695644,0.011939219347826163,1.3043478260869565,10,1,0.38896056889798203,0.7883924471999928,0.024637263974999775,0.03427793248695621,4,73728.0,0.7070290263356882,True
Speculative decoding is useful because,explanatory,32,adaptive_only,4,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8013825420000007,39.930992157800176,0.5111111111111111,0.5722222222222223,9,0,22,0.35862073379999887,0.2884150010000006,0.00020141499999937196,0.00010554300000009675,0.9998481606385135,1.5333333333333334,0.015592205817391255,0.01253978265217394,0.9565217391304348,9,5,0.44560946646700206,0.7337568983999995,0.022929903074999983,0.03190247384347824,5,92160.0,0.7863105957204631,True
Speculative decoding is useful because,explanatory,32,hybrid_only,4,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6675716250000008,47.934931326657214,0.4375,0.4375,3,22,9,0.11092127129999926,0.5082011690000048,0.00041545899999384517,2.9249000002451453e-05,0.9999544051913118,0.2692307692307692,0.015845895899999896,0.07260016700000069,1.2857142857142858,3,22,0.8202906869365215,0.7717811485000057,0.024118160890625177,0.1102544497857151,4,73728.0,0.9439220607975943,True
Speculative decoding is useful because,explanatory,32,category_only,4,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8959822499999994,35.71499323786829,0.4339622641509434,0.4642857142857143,9,0,30,0.43467850439999856,0.27437275100000846,0.0001854200000188655,0.00011745999999490664,0.999842751420325,1.6428571428571428,0.01889906540869559,0.01192925004347863,1.3043478260869565,10,1,0.38685640564943413,0.7915664547000116,0.024736451709375364,0.03441593281304398,4,73728.0,0.7032902537968805,True
Speculative decoding is useful because,explanatory,32,hybrid_category,4,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6772047080000014,47.25306782716569,0.4117647058823529,0.4375,3,22,10,0.11806205809999923,0.507647875,0.00040166400000529734,2.9291999997127505e-05,0.9999549477613122,0.2692307692307692,0.01686600829999989,0.07252112499999999,1.4285714285714286,3,22,0.8107945569947922,0.7781971823999982,0.024318661949999945,0.1111710260571426,5,92160.0,0.9304949840957075,True
Speculative decoding is useful because,explanatory,32,fixed,6,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8847514580000002,36.16834955246832,0.3898305084745763,0.4,9,0,36,0.4772910617999979,0.20245091699999662,0.00014550099999510735,7.475099999965096e-05,0.9998919040914483,2.3,0.020751785295652084,0.008802213782608549,1.565217391304348,9,0,0.29777120922943595,0.7406176803999912,0.023144302512499725,0.032200768713043094,6,110592.0,0.7122176271112733,True
Speculative decoding is useful because,explanatory,32,adaptive_only,6,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8136898330000015,39.327024502713606,0.48936170212765956,0.5619047619047619,9,0,24,0.3753100749999965,0.27691429399999734,0.00020312400000932485,9.283200000353986e-05,0.9998698645436246,1.6428571428571428,0.016317829347825937,0.012039751913043363,1.0434782608695652,9,4,0.42443688681279407,0.7354820220000008,0.022983813187500025,0.03197747921739134,6,110592.0,0.7744174234999915,True
Speculative decoding is useful because,explanatory,32,hybrid_only,6,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6779771249999982,47.19923256997806,0.3888888888888889,0.3888888888888889,3,22,11,0.12705819630000156,0.4956247109999943,0.000402959000002312,1.8041999997109315e-05,0.9999710449577401,0.28,0.018151170900000225,0.07080353014285633,1.5714285714285714,3,22,0.7954356498938222,0.771551350399992,0.02411097969999975,0.11022162148571314,6,110592.0,0.9294348743698414,True
Speculative decoding is useful because,explanatory,32,category_only,6,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8868878750000029,36.08122390894102,0.4339622641509434,0.4642857142857143,9,0,30,0.42936168380000045,0.2728986240000033,0.0001764589999950772,0.00011487300000112555,0.9998436630397495,1.6428571428571428,0.018667899295652192,0.011865157565217535,1.3043478260869565,10,1,0.3885027619542362,0.784326838900004,0.024510213715625125,0.03410116690869582,4,73728.0,0.710501971852978,True
Speculative decoding is useful because,explanatory,32,hybrid_category,6,fast_draft,0.7,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6781868330000016,47.18463768818101,0.4117647058823529,0.4375,3,22,10,0.12119799929999997,0.5041524160000108,0.00041208199998976625,2.8207999996254784e-05,0.999956522135522,0.2692307692307692,0.017313999899999995,0.07202177371428727,1.4285714285714286,3,22,0.8056609627059707,0.7767920017000058,0.024274750053125183,0.11097028595714369,5,92160.0,0.9291474757959479,True
Speculative decoding is useful because,explanatory,32,fixed,2,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8281739160000008,38.639227077516374,0.5897435897435898,0.6,9,0,16,0.4477419590000018,0.37960454200000626,0.0002444560000078866,0.0001393320000033782,0.9998478743107008,1.15,0.019467041695652252,0.016504545304348098,0.6956521739130435,10,1,0.45868618885839146,0.9414789112000168,0.029421215975000525,0.04093386570434856,2,36864.0,0.7608734974937306,True
Speculative decoding is useful because,explanatory,32,adaptive_only,2,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7235558749999988,44.22602470058038,0.6052631578947368,0.6333333333333333,9,0,15,0.4372141259999971,0.2857008330000035,0.00021446100000943602,9.075099999833469e-05,0.9998847144292015,1.5333333333333334,0.01900930982608683,0.012421775347826238,0.6521739130434783,9,0,0.3950894889603572,0.8088108194000035,0.02527533810625011,0.03516568780000016,3,55296.0,0.8708872469593321,True
Speculative decoding is useful because,explanatory,32,hybrid_only,2,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.638282916999998,50.13450798652677,0.6,0.6,2,24,4,0.09559466599999666,0.5417195439999887,0.00043750000000031264,3.5291999996189816e-05,0.9999504800449541,0.20689655172413793,0.01593244433333278,0.09028659066666478,0.6666666666666666,2,24,0.849420762823201,0.8000438943999779,0.02500137169999931,0.133340649066663,2,36864.0,0.987235545895084,True
Speculative decoding is useful because,explanatory,32,category_only,2,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8800062079999975,36.36337983652053,0.4339622641509434,0.4642857142857143,9,0,30,0.6088022490000036,0.2706065410000065,0.0001686260000042239,0.00011329299999474074,0.9998776050636407,1.6428571428571428,0.026469663000000154,0.011765501782608977,1.3043478260869565,10,1,0.30765517176489454,0.9607828250000079,0.030024463281250247,0.04177316630434817,4,73728.0,0.7160581121718648,True
Speculative decoding is useful because,explanatory,32,hybrid_category,2,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6694938750000006,47.79730061010636,0.4117647058823529,0.4375,3,22,10,0.1665591250000027,0.5020657069999999,0.0003939589999895077,2.8457000002646282e-05,0.9999589609835086,0.2692307692307692,0.0237941607142861,0.0717236724285714,1.4285714285714286,3,22,0.7504508300126443,0.8194334304000014,0.025607294700000043,0.11706191862857163,5,92160.0,0.9412118729241534,True
Speculative decoding is useful because,explanatory,32,fixed,3,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.739125125000001,43.29442866659411,0.5609756097560976,0.5714285714285714,9,0,18,0.47109437600000703,0.26742612300000346,0.0002082490000034909,7.854299999721093e-05,0.99990158384339,1.6428571428571428,0.02048236417391335,0.011627222739130584,0.782608695652174,9,0,0.36200855012616673,0.81891803280001,0.02559118852500031,0.03560513186087,3,55296.0,0.8525425028678313,True
Speculative decoding is useful because,explanatory,32,adaptive_only,3,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7450662500000007,42.94920082610099,0.575,0.6055555555555556,9,0,17,0.4575082089999931,0.28689154199999223,0.00021887400000863977,9.216799999478553e-05,0.9998852994007525,1.5333333333333334,0.019891661260869265,0.012473545304347489,0.7391304347826086,9,0,0.38528655121941724,0.8306561479999808,0.0259580046249994,0.03611548469565134,4,73728.0,0.8457443670277629,True
Speculative decoding is useful because,explanatory,32,hybrid_only,3,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6198220000000028,51.627725379221545,0.5833333333333334,0.5833333333333334,3,22,5,0.11712058400000203,0.5018130430000056,0.0004104149999974993,1.9250000001136414e-05,0.9999708022185383,0.2692307692307692,0.01673151200000029,0.07168757757142938,0.7142857142857143,3,22,0.8102330998124003,0.7696628809000096,0.0240519650281253,0.1099518401285728,3,55296.0,1.0166395900758554,True
Speculative decoding is useful because,explanatory,32,category_only,3,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8807634170000007,36.332117549791434,0.4339622641509434,0.4642857142857143,9,0,30,0.6093229980000032,0.27082854200000384,0.0001715820000036672,0.00011316700000207902,0.9998785161906327,1.6428571428571428,0.026492304260869706,0.011775154000000166,1.3043478260869565,10,1,0.3076467438282287,0.961593219100012,0.030049788096875377,0.041808400830435306,4,73728.0,0.715442503443577,True
Speculative decoding is useful because,explanatory,32,hybrid_category,3,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6694103749999982,47.803262684717254,0.4117647058823529,0.4375,3,22,10,0.1669624570000039,0.5015926650000111,0.0003956259999995382,2.8666999998705478e-05,0.9999588297551456,0.2692307692307692,0.023851779571429126,0.07165609500000159,1.4285714285714286,3,22,0.7498200226244461,0.8192227056000168,0.025600709550000524,0.11703181508571668,5,92160.0,0.9413292765293655,True
Speculative decoding is useful because,explanatory,32,fixed,4,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8805026250000019,36.34287859164523,0.4339622641509434,0.4642857142857143,9,0,30,0.6086827049999961,0.2712144579999922,0.00016908100000279092,0.00011445600000214995,0.9998761155851711,1.6428571428571428,0.02646446543478244,0.0117919329565214,1.3043478260869565,10,1,0.3081750491500444,0.9614550343999895,0.03004546982499967,0.04180239279999954,4,73728.0,0.7156544070496079,True
Speculative decoding is useful because,explanatory,32,adaptive_only,4,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7917112089999989,40.418778509424946,0.5111111111111111,0.5722222222222223,9,0,22,0.5060681250000023,0.28500395899999376,0.00020012400000268826,0.00010112399999684385,0.9998814303429074,1.5333333333333334,0.02200296195652184,0.012391476478260598,0.9565217391304348,9,0,0.3601844676440275,0.8767645576999918,0.027398892428124745,0.03812019816086921,5,92160.0,0.7959159562688476,True
Speculative decoding is useful because,explanatory,32,hybrid_only,4,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6660835829999989,48.042018774691904,0.4375,0.4375,3,22,9,0.15664333300000166,0.5085559570000022,0.0004104149999903939,2.866700000225819e-05,0.9999584353265532,0.2692307692307692,0.022377619000000237,0.07265085100000032,1.2857142857142858,3,22,0.7640452853673559,0.8179617768000033,0.025561305525000102,0.11685168240000046,4,73728.0,0.9460307986602946,True
Speculative decoding is useful because,explanatory,32,category_only,4,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.881353708999999,36.307783893378996,0.4339622641509434,0.4642857142857143,9,0,30,0.6098127909999889,0.2709226650000005,0.00016895699999608382,0.0001220000000010657,0.9998682868265465,1.6428571428571428,0.02651359960869517,0.011779246304347847,1.3043478260869565,10,1,0.3075505821083961,0.9622140382999891,0.03006918869687466,0.04183539296956474,4,73728.0,0.7149633314812547,True
Speculative decoding is useful because,explanatory,32,hybrid_category,4,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.669141125000003,47.822497832575834,0.4117647058823529,0.4375,3,22,10,0.16658791699999398,0.5016665420000095,0.0004073740000265502,2.691800001031197e-05,0.9999610535782878,0.2692307692307692,0.023798273857141998,0.07166664885714422,1.4285714285714286,3,22,0.7502544892523976,0.8189469810000283,0.025592093156250884,0.11699242585714689,5,92160.0,0.9417080500021527,True
Speculative decoding is useful because,explanatory,32,fixed,6,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8752945000000025,36.55912381489877,0.3898305084745763,0.4,9,0,36,0.6755126650000065,0.19932629200000207,0.00014400099998823634,7.737399999285799e-05,0.9999131018593265,2.3,0.0293701158695655,0.008666360521739221,1.565217391304348,9,0,0.22780591344957693,0.9347795563999967,0.029211861137499896,0.04064258940869551,6,110592.0,0.7199126511134227,True
Speculative decoding is useful because,explanatory,32,adaptive_only,6,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8078121249999981,39.61317119373527,0.48936170212765956,0.5619047619047619,9,0,24,0.5321472100000051,0.27504266599997607,0.0002038350000006517,9.59980000132532e-05,0.9998910216800898,1.6428571428571428,0.023136835217391526,0.011958376782607655,1.0434782608695652,9,0,0.34065495216618336,0.8898898075999888,0.02780905648749965,0.03869086119999952,6,110592.0,0.7800521488830104,True
Speculative decoding is useful because,explanatory,32,hybrid_only,6,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.674129709000006,47.468609635181814,0.3888888888888889,0.3888888888888889,3,22,11,0.18102220800000168,0.4922759600000006,0.0003992499999867505,1.779199999418779e-05,0.9999735912152047,0.28,0.02586031542857167,0.07032513714285724,1.5714285714285714,3,22,0.7307078027127137,0.8211602271999908,0.025661257099999713,0.11730860388571297,6,110592.0,0.9347393766916656,True
Speculative decoding is useful because,explanatory,32,category_only,6,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8837585409999988,36.20898527757486,0.4339622641509434,0.4642857142857143,9,0,30,0.6089604979999947,0.27417420799999803,0.00018129199999350476,0.00011587499999166084,0.9998757677142178,1.6428571428571428,0.02647654339130412,0.011920617739130349,1.3043478260869565,10,1,0.310391987262527,0.9655869476999805,0.030174592115624392,0.04198204120434698,4,73728.0,0.7130178151228758,True
Speculative decoding is useful because,explanatory,32,hybrid_category,6,balanced,1.0,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6710348330000002,47.687539344175875,0.4117647058823529,0.4375,3,22,10,0.16771695799999264,0.5024430429999924,0.00040537400001028345,2.8624999998783096e-05,0.9999586187227897,0.2692307692307692,0.02395956542857038,0.07177757757142748,1.4285714285714286,3,22,0.7492827123678969,0.8210865509999857,0.025658954718749554,0.11729807871428367,5,92160.0,0.9390504829426632,True
Speculative decoding is useful because,explanatory,32,fixed,2,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8247531250000009,38.79948924109862,0.5897435897435898,0.6,9,0,16,0.5790096558999793,0.3785175819999935,0.00025850199997279333,0.0001419580000074916,0.9998663324378105,1.15,0.025174332865216493,0.01645728617391276,0.6956521739130435,10,1,0.3952006865747814,1.0713420670999685,0.033479439596874015,0.04658008987391167,2,36864.0,0.7640293378700431,True
Speculative decoding is useful because,explanatory,32,adaptive_only,2,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7230187500000014,44.25887986998946,0.6052631578947368,0.6333333333333333,9,0,15,0.5675810829000092,0.28577037500000557,0.0002160030000126767,9.366899999463385e-05,0.99989876810469,1.5333333333333334,0.02467743838695692,0.012424798913043721,0.6521739130434783,9,0,0.3347953010048914,0.9392720075000156,0.029352250234375488,0.040837913369565895,3,55296.0,0.871534222314426,True
Speculative decoding is useful because,explanatory,32,hybrid_only,2,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6387469160000023,50.098089240715616,0.6,0.6,2,24,4,0.12422160789998245,0.5422371249999927,0.0004310009999883846,3.4001000003058834e-05,0.9999540170011956,0.20689655172413793,0.020703601316663742,0.09037285416666545,0.6666666666666666,2,24,0.8130836290266401,0.8293396718999717,0.025916864746874116,0.13822327864999528,2,36864.0,0.986518397530701,True
Speculative decoding is useful because,explanatory,32,category_only,2,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8816060830000012,36.29739020301197,0.4339622641509434,0.4642857142857143,9,0,30,0.7929243829000101,0.27106562299999837,0.00016924999999901047,0.00011362399997949524,0.9998986786295293,1.6428571428571428,0.03447497316956566,0.011785461869565146,1.3043478260869565,10,1,0.25472279783042995,1.145502379199985,0.03579694934999953,0.049804451269564565,4,73728.0,0.7147586616640879,True
Speculative decoding is useful because,explanatory,32,hybrid_category,2,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6714945419999978,47.65489218228092,0.4117647058823529,0.4375,3,22,10,0.21747120589999797,0.5033100809999951,0.000407666999990397,3.245899998916002e-05,0.9999564377252558,0.2692307692307692,0.031067315128571138,0.07190144014285645,1.4285714285714286,3,22,0.6978893371539293,0.8719730828999758,0.027249158840624243,0.12456758327142511,5,92160.0,0.9384076036168313,True
Speculative decoding is useful because,explanatory,32,fixed,3,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7424467499999992,43.100734160396065,0.5609756097560976,0.5714285714285714,9,0,18,0.6172461763000008,0.26701120799999245,0.00021937600000399016,8.445699998560485e-05,0.9999118211742447,1.6428571428571428,0.02683679027391308,0.011609182956521412,0.782608695652174,9,0,0.30188606415099867,0.9645413997999769,0.030141918743749278,0.041936582599998995,3,55296.0,0.8487283215934346,True
Speculative decoding is useful because,explanatory,32,adaptive_only,3,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7421481249999999,43.11807700113775,0.575,0.6055555555555556,9,0,17,0.592517953300014,0.2856882489999819,0.00022003900001266175,9.324900001672631e-05,0.9999028663907092,1.5333333333333334,0.025761650143478868,0.012421228217390518,0.7391304347826086,9,0,0.32522736180693274,0.964103266500014,0.030128227078125437,0.04191753332608757,4,73728.0,0.8490698322521527,True
Speculative decoding is useful because,explanatory,32,hybrid_only,3,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6216889590000036,51.47268507305083,0.5833333333333334,0.5833333333333334,3,22,5,0.15214474339998532,0.5037664980000116,0.00041858699998442717,1.9834000006824226e-05,0.9999711784319874,0.2692307692307692,0.021734963342855046,0.07196664257143023,0.7142857142857143,3,22,0.7675508200322195,0.8072304430000017,0.025225951343750053,0.11531863471428595,3,55296.0,1.0135865771423422,True
Speculative decoding is useful because,explanatory,32,category_only,3,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8810645840000007,36.31969844335495,0.4339622641509434,0.4642857142857143,9,0,30,0.7925730552999916,0.27076791600000405,0.00017570900001118162,0.00011787599999024678,0.9998953271269585,1.6428571428571428,0.034459698056521375,0.011772518086956698,1.3043478260869565,10,1,0.25459677409443476,1.1447712932999905,0.0357741029156247,0.04977266492608654,4,73728.0,0.7151979496658546,True
Speculative decoding is useful because,explanatory,32,hybrid_category,3,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6707527920000018,47.707591204480465,0.4117647058823529,0.4375,3,22,10,0.2169087907999952,0.5030045819999813,0.0004068730000099663,2.916599999736036e-05,0.9999611299115997,0.2692307692307692,0.03098697011428503,0.07185779742856876,1.4285714285714286,3,22,0.6983068779933366,0.8710095791999721,0.02721904934999913,0.1244299398857103,5,92160.0,0.9394453389021419,True
Speculative decoding is useful because,explanatory,32,fixed,4,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8909030419999979,35.91861121964838,0.4339622641509434,0.4642857142857143,9,0,30,0.8055346000000172,0.2706303750000103,0.00017795800002318174,0.0001169579999853454,0.9998968836504871,1.6428571428571428,0.03502324347826162,0.011766538043478708,1.3043478260869565,10,1,0.2514350832830688,1.1575539245000237,0.03617356014062574,0.050328431500001033,4,73728.0,0.7072998455425648,True
Speculative decoding is useful because,explanatory,32,adaptive_only,4,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.7939417500000019,40.305223903390804,0.5111111111111111,0.5722222222222223,9,0,22,0.6593912012999594,0.2860676660000081,0.00020154100000269182,9.950000001879289e-05,0.9999028117640869,1.5333333333333334,0.028669182665215627,0.012437724608696004,0.9565217391304348,9,0,0.3025057023527894,1.0314692334999918,0.03223341354687474,0.04484648841304312,5,92160.0,0.7936798688316845,True
Speculative decoding is useful because,explanatory,32,hybrid_only,4,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.6672841249999948,47.9555841374171,0.4375,0.4375,3,22,9,0.2047782762999873,0.5088708749999995,0.0004074200000161454,2.9501000007314815e-05,0.9999600299747593,0.2692307692307692,0.029254039471426758,0.07269583928571421,1.2857142857142858,3,22,0.7126478425561651,0.8665058329000012,0.027078307278125036,0.12378654755714302,4,73728.0,0.9443287505153888,True
Speculative decoding is useful because,explanatory,32,category_only,4,slow_draft,1.3,1.0,0.6301355839999996,50.7827217070795,0.0,0.0,0.8824433750000011,36.26295001648118,0.4339622641509434,0.4642857142857143,9,0,30,0.7926365954000067,0.272101959000004,0.00017408399999396806,0.00011591800002008767,0.9998967533645056,1.6428571428571428,0.03446246066956551,0.011830519956521913,1.3043478260869565,10,1,0.2555157570566803,1.1465662855000318,0.035830196421875994,0.049850708065218775,4,73728.0,0.7140804745686926,True
